Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
📝 Generate Artikel SEO: plakat batas wilayah,2026-07-27,10:00,2026-07-27,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas wilayah'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas wilayah"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat BM,2026-07-27,10:00,2026-07-27,10:30,False,"""Generate 1 artikel untuk keyword 'plakat BM'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat BM"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat CP,2026-08-03,10:00,2026-08-03,10:30,False,"""Generate 1 artikel untuk keyword 'plakat CP'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat CP"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat peresmian gedung,2026-08-03,10:00,2026-08-03,10:30,False,"""Generate 1 artikel untuk keyword 'plakat peresmian gedung'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat peresmian gedung"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat center point,2026-08-10,10:00,2026-08-10,10:30,False,"""Generate 1 artikel untuk keyword 'plakat center point'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat center point"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat bancmark,2026-08-10,10:00,2026-08-10,10:30,False,"""Generate 1 artikel untuk keyword 'plakat bancmark'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat bancmark"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas desa,2026-08-17,10:00,2026-08-17,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas desa'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas desa"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas kecamatan,2026-08-24,10:00,2026-08-24,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas kecamatan'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas kecamatan"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas kabupaten,2026-08-31,10:00,2026-08-31,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas kabupaten'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas kabupaten"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas provinsi,2026-09-07,10:00,2026-09-07,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas provinsi'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas provinsi"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
